Name,URL,Duration (mins),Remote Testing Support,Adaptive/IRT Support,Test Types
account manager solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,49.0,yes,yes,c p a b
administrative professional  short form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,36.0,yes,yes,a k p
agency manager solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,51.0,yes,yes,a b p s
apprentice  80 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,30.0,yes,no,b p
apprentice 80 job focused assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,20.0,yes,no,b p
bank administrative assistant  short form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,35.0,yes,no,a b k p
bank collections agent  short form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,45.0,yes,no,a b p
bank operations supervisor  short form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,45.0,yes,yes,a b p s
bilingual spanish reservation agent solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,43.0,yes,yes,b p s a
bookkeeping accounting auditing clerk short form,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,49.0,yes,yes,p s k b a
branch manager  short form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,50.0,yes,no,a b p
cashier solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,28.0,yes,yes,b a p
global skills development report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Unknown,yes,no,a e b c d p
net framework 45,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,30.0,yes,yes,k
net mvc new,https://www.shl.com/products/product-catalog/view/net-mvc-new/,17.0,yes,no,k
net mvvm new,https://www.shl.com/products/product-catalog/view/net-mvvm-new/,5.0,yes,no,k
net wcf new,https://www.shl.com/products/product-catalog/view/net-wcf-new/,11.0,yes,no,k
net wpf new,https://www.shl.com/products/product-catalog/view/net-wpf-new/,9.0,yes,no,k
net xaml new,https://www.shl.com/products/product-catalog/view/net-xaml-new/,5.0,yes,no,k
accounts payable new,https://www.shl.com/products/product-catalog/view/accounts-payable-new/,9.0,yes,no,k
accounts payable simulation new,https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,8.0,yes,no,s
accounts receivable new,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,13.0,yes,no,k
accounts receivable simulation new,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,8.0,yes,no,s
adonet new,https://www.shl.com/products/product-catalog/view/ado-net-new/,10.0,yes,no,k
